2018-04-29 00:22:16 INFO  TestClass:38 - Chrome launched success
2018-05-08 17:23:29 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 17:26:05 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 17:26:05 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 17:26:05 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 17:26:32 INFO  TestClass:73 - Browser closed.................
2018-05-08 17:26:32 INFO  TestClass:75 - --------------------------------------------------------------------------------------------------
2018-05-08 17:26:32 INFO  TestClass:76 - *****************************************Stoped EXecution*****************************************
2018-05-08 17:26:32 INFO  TestClass:77 - --------------------------------------------------------------------------------------------------
2018-05-08 17:28:49 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 17:28:49 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 17:28:49 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 17:29:16 INFO  TestClass:73 - Browser closed.................
2018-05-08 17:29:16 INFO  TestClass:75 - --------------------------------------------------------------------------------------------------
2018-05-08 17:29:16 INFO  TestClass:76 - *****************************************Stoped EXecution*****************************************
2018-05-08 17:29:16 INFO  TestClass:77 - --------------------------------------------------------------------------------------------------
2018-05-08 17:30:05 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 17:30:05 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 17:30:05 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 17:30:30 INFO  TestClass:73 - Browser closed.................
2018-05-08 17:30:37 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 17:30:37 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 17:30:37 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 17:32:38 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 17:32:38 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 17:32:38 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 17:33:14 INFO  TestClass:73 - Browser closed.................
2018-05-08 17:33:14 INFO  TestClass:75 - --------------------------------------------------------------------------------------------------
2018-05-08 17:33:14 INFO  TestClass:76 - *****************************************Stoped EXecution*****************************************
2018-05-08 17:33:14 INFO  TestClass:77 - --------------------------------------------------------------------------------------------------
2018-05-08 17:41:01 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 17:41:01 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 17:41:01 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 17:41:37 INFO  TestClass:73 - Browser closed.................
2018-05-08 17:41:38 INFO  TestClass:75 - --------------------------------------------------------------------------------------------------
2018-05-08 17:41:38 INFO  TestClass:76 - *****************************************Stoped EXecution*****************************************
2018-05-08 17:41:38 INFO  TestClass:77 - --------------------------------------------------------------------------------------------------
2018-05-08 18:27:40 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 18:27:40 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 18:27:40 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 18:28:08 INFO  TestClass:73 - Browser closed.................
2018-05-08 18:28:29 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 18:28:29 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 18:28:29 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 18:30:04 INFO  TestClass:73 - Browser closed.................
2018-05-08 18:30:34 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 18:30:34 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 18:30:34 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 18:31:21 INFO  TestClass:34 - 
2018-05-08 18:31:29 INFO  TestClass:73 - Browser closed.................
2018-05-08 18:31:29 INFO  TestClass:75 - --------------------------------------------------------------------------------------------------
2018-05-08 18:31:29 INFO  TestClass:76 - *****************************************Stoped EXecution*****************************************
2018-05-08 18:31:29 INFO  TestClass:77 - --------------------------------------------------------------------------------------------------
2018-05-08 18:36:09 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 18:36:09 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 18:36:09 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 18:36:34 INFO  TestClass:73 - Browser closed.................
2018-05-08 18:36:49 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 18:36:49 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 18:36:49 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 18:37:16 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 18:37:16 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 18:37:16 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 18:37:42 INFO  TestClass:73 - Browser closed.................
2018-05-08 18:38:08 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 18:38:08 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 18:38:08 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 18:38:56 INFO  TestClass:34 - 
2018-05-08 18:43:44 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 18:43:44 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 18:43:44 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 18:44:36 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 18:44:36 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 18:44:36 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 18:45:23 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 18:45:23 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 18:45:23 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 18:48:38 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 18:48:38 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 18:48:38 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 18:49:23 INFO  TestClass:34 - 
2018-05-08 18:49:40 INFO  TestClass:73 - Browser closed.................
2018-05-08 18:54:30 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 18:54:30 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 18:54:30 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 18:55:43 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 18:55:43 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 18:55:43 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 18:56:31 INFO  TestClass:34 - 
2018-05-08 18:56:46 INFO  TestClass:73 - Browser closed.................
2018-05-08 18:56:46 INFO  TestClass:75 - --------------------------------------------------------------------------------------------------
2018-05-08 18:56:46 INFO  TestClass:76 - *****************************************Stoped EXecution*****************************************
2018-05-08 18:56:46 INFO  TestClass:77 - --------------------------------------------------------------------------------------------------
2018-05-08 18:57:03 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 18:57:03 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 18:57:03 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 18:57:15 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 18:57:15 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 18:57:15 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 18:58:21 INFO  TestClass:34 - 
2018-05-08 19:00:40 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-08 19:00:40 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-08 19:00:40 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-08 19:01:20 INFO  TestClass:34 - 
2018-05-08 19:05:19 INFO  TestClass:73 - Browser closed.................
2018-05-08 19:05:20 INFO  TestClass:75 - --------------------------------------------------------------------------------------------------
2018-05-08 19:05:20 INFO  TestClass:76 - *****************************************Stoped EXecution*****************************************
2018-05-08 19:05:20 INFO  TestClass:77 - --------------------------------------------------------------------------------------------------
2018-05-09 12:54:41 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-09 12:54:41 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-09 12:54:41 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-09 12:55:15 INFO  TestClass:73 - Browser closed.................
2018-05-09 12:56:16 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-09 12:56:16 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-09 12:56:16 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-09 12:56:58 INFO  TestClass:36 - 
2018-05-09 12:57:13 INFO  TestClass:73 - Browser closed.................
2018-05-09 12:57:14 INFO  TestClass:75 - --------------------------------------------------------------------------------------------------
2018-05-09 12:57:14 INFO  TestClass:76 - *****************************************Stoped EXecution*****************************************
2018-05-09 12:57:14 INFO  TestClass:77 - --------------------------------------------------------------------------------------------------
2018-05-09 15:41:59 INFO  TestClass:35 - --------------------------------------------------------------------------------------------------
2018-05-09 15:41:59 INFO  TestClass:36 - *****************************************Started EXecution*****************************************
2018-05-09 15:41:59 INFO  TestClass:37 - --------------------------------------------------------------------------------------------------
2018-05-09 15:42:42 INFO  TestClass:36 - 
2018-05-09 15:42:57 INFO  TestClass:73 - Browser closed.................
